Month,#Passengers
1949-02-01,0.0521857531706
1949-03-01,0.112117298121
1949-04-01,-0.0229895182247
1949-05-01,-0.0640218587649
1949-06-01,0.109484232842
1949-07-01,0.0919374953257
1949-08-01,0.0
1949-09-01,-0.0845573880281
1949-10-01,-0.133531392625
1949-11-01,-0.13473259397
1949-12-01,0.126293725324
1950-01-01,-0.0257524961024
1950-02-01,0.0913497785882
1950-03-01,0.112477983427
1950-04-01,-0.0434851119397
1950-05-01,-0.0769610411361
1950-06-01,0.175632568643
1950-07-01,0.131852131105
1950-08-01,0.0
1950-09-01,-0.0732034040233
1950-10-01,-0.172245904805
1950-11-01,-0.154150679827
1950-12-01,0.205443974215
1951-01-01,0.0350913198113
1951-02-01,0.0339015516757
1951-03-01,0.171148256196
1951-04-01,-0.0880333494853
1951-05-01,0.0537442760067
1951-06-01,0.0342890734786
1951-07-01,0.111521274432
1951-08-01,0.0
1951-09-01,-0.0783690671155
1951-10-01,-0.127339422377
1951-11-01,-0.103989713524
1951-12-01,0.128381166648
1952-01-01,0.0296757681461
1952-02-01,0.0512932943876
1952-03-01,0.0697333380147
1952-04-01,-0.0641931576391
1952-05-01,0.0109891215756
1952-06-01,0.175008909948
1952-07-01,0.0535842461341
1952-08-01,0.0508584172335
1952-09-01,-0.146603474192
1952-10-01,-0.0900608239182
1952-11-01,-0.104778951233
1952-12-01,0.12036368225
1953-01-01,0.0102565001672
1953-02-01,0.0
1953-03-01,0.185717145795
1953-04-01,-0.00424629088145
1953-05-01,-0.0258635105899
1953-06-01,0.0593394397863
1953-07-01,0.0828876598058
1953-08-01,0.0298529631497
1953-09-01,-0.137741925161
1953-10-01,-0.116202007659
1953-11-01,-0.158901282586
1953-12-01,0.110348057169
1954-01-01,0.0148150857851
1954-02-01,-0.0816780310143
1954-03-01,0.223143551314
1954-04-01,-0.0346354966628
1954-05-01,0.0303710978763
1954-06-01,0.120627987789
1954-07-01,0.134477914229
1954-08-01,-0.0302544083578
1954-09-01,-0.123344547318
1954-10-01,-0.123106058145
1954-11-01,-0.120516024512
1954-12-01,0.120516024512
1955-01-01,0.0552157226024
1955-02-01,-0.037899272591
1955-03-01,0.136210204835
1955-04-01,0.00746272120159
1955-05-01,0.00371057939654
1955-06-01,0.154150679827
1955-07-01,0.144581228811
1955-08-01,-0.0478290876899
1955-09-01,-0.106321592137
1955-10-01,-0.129875081421
1955-11-01,-0.145067965253
1955-12-01,0.159560972556
1956-01-01,0.0213531244706
1956-02-01,-0.0249567319739
1956-03-01,0.13488426769
1956-04-01,-0.0126985833371
1956-05-01,0.01584819224
1956-06-01,0.162204414634
1956-07-01,0.0991917955465
1956-08-01,-0.0195605258545
1956-09-01,-0.131769277631
1956-10-01,-0.148532687523
1956-11-01,-0.121466281073
1956-12-01,0.121466281073
1957-01-01,0.0289875368733
1957-02-01,-0.0454623740768
1957-03-01,0.167820466103
1957-04-01,-0.0227282510776
1957-05-01,0.0199153097009
1957-06-01,0.172887524561
1957-07-01,0.0970320915513
1957-08-01,0.00429185208154
1957-09-01,-0.144914379708
1957-10-01,-0.152090098014
1957-11-01,-0.129013003339
1957-12-01,0.0967993833558
1958-01-01,0.011834457647
1958-02-01,-0.06689423483
1958-03-01,0.129592829046
1958-04-01,-0.0394417320513
1958-05-01,0.0422003544904
1958-06-01,0.180943196824
1958-07-01,0.121098096706
1958-08-01,0.0281143014808
1958-09-01,-0.223143551314
1958-10-01,-0.118092489473
1958-11-01,-0.146750091009
1958-12-01,0.0835106328732
1959-01-01,0.0660211010978
1959-02-01,-0.0512932943876
1959-03-01,0.171542422539
1959-04-01,-0.0249389483473
1959-05-01,0.0588405000229
1959-06-01,0.116724274308
1959-07-01,0.149296301362
1959-08-01,0.0198741862071
1959-09-01,-0.188422419069
1959-10-01,-0.128913868644
1959-11-01,-0.117168973617
1959-12-01,0.112242855281
1960-01-01,0.0291991546923
1960-02-01,-0.0643786618134
1960-03-01,0.0691633599368
1960-04-01,0.0955271230745
1960-05-01,0.0235809425889
1960-06-01,0.12528776131
1960-07-01,0.150673345843
1960-08-01,-0.0260601066699
1960-09-01,-0.176398538491
1960-10-01,-0.0970834045818
1960-11-01,-0.167251303873
1960-12-01,0.10227884912
